id,Покупательская_активность,Тип_сервиса,Разрешить_сообщать,Маркет_актив_6_мес,Маркет_актив_тек_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Неоплаченные_продукты_штук_квартал,Ошибка_сервиса,Страниц_за_визит,Выручка_позапрошлая,Выручка_прошлая,Выручка_текущая,Активность,"Время_прошлый,мин","Время_текущий,мин"
215371,Снизилась,стандарт,да,3.8,4,365,0.21,Домашний текстиль,5,0,6,1,4742.0,6809.0,6937.7,Активен,10,10
215372,Снизилась,стандарт,нет,4.8,4,566,0.39,Косметика и аксесуары,2,1,4,5,4762.0,3866.0,4092.2,Активен,9,9
215373,Снизилась,премиум,нет,3.8,3,811,0.9,Товары для детей,2,5,5,3,4293.0,4632.0,5161.1,Активен,10,8
215374,Снизилась,стандарт,нет,2.9,5,268,0.98,Домашний текстиль,6,3,2,2,4666.0,5762.5,5720.9,Активен,11,8
215375,Снизилась,премиум,да,3.0,4,558,0.89,Товары для детей,3,3,7,4,4715.0,5253.5,5633.1,Активен,8,9
215376,Снизилась,стандарт,да,2.4,3,534,0.98,Домашний текстиль,4,1,5,4,4723.0,6061.0,6209.2,Активен,8,9
215377,Снизилась,стандарт,да,4.6,4,730,0.27,Товары для детей,2,5,8,5,4273.0,5096.5,5872.6,Активен,8,7
215378,Снизилась,стандарт,да,1.7,3,488,0.39,Техника для красоты и здоровья,5,1,4,3,4302.0,3543.0,4364.6,Активен,12,8
215379,Снизилась,стандарт,нет,3.4,4,436,0.98,Товары для детей,3,0,3,5,4360.0,4300.0,4394.9,Активен,10,15
215380,Снизилась,премиум,нет,1.7,4,637,0.94,Техника для красоты и здоровья,3,2,4,7,5051.0,6077.0,5179.950000000001,Активен,12,14
215381,Снизилась,стандарт,да,3.6,5,554,0.33,Домашний текстиль,6,1,6,5,4503.0,5467.5,5783.4,Активен,9,9
215382,Снизилась,стандарт,да,4.6,4,330,0.89,Техника для красоты и здоровья,6,2,7,6,4824.0,5545.5,6403.5,Активен,15,8
215383,Снизилась,стандарт,да,2.7,4,504,0.33,Техника для красоты и здоровья,2,4,2,4,4729.0,5560.0,5989.0,Активен,7,10
215384,Снизилась,стандарт,да,4.0,4,1020,0.34,Косметика и аксесуары,2,3,8,3,4226.0,3584.0,4010.4,Активен,11,12
215385,Снизилась,стандарт,да,3.6,4,721,0.24,Домашний текстиль,5,3,4,4,4707.0,6184.5,6627.8,Активен,10,8
215386,Снизилась,стандарт,да,1.5,3,495,0.98,Домашний текстиль,2,3,7,5,4751.0,3146.0,4478.5,Активен,14,8
215387,Снизилась,стандарт,да,4.6,3,135,0.32,Косметика и аксесуары,5,0,3,4,4607.0,5414.0,5658.4,Активен,7,5
215388,Снизилась,стандарт,да,3.5,4,663,0.99,Домашний текстиль,4,2,2,2,4182.0,3188.0,3232.2,Активен,10,12
215389,Снизилась,премиум,да,4.1,3,1047,0.93,Товары для детей,5,2,3,7,4484.0,4550.0,4429.1,Активен,7,7
215390,Снизилась,стандарт,да,3.1,4,152,0.33,Косметика и аксесуары,6,4,2,5,4549.0,4254.0,4612.8,Активен,8,12
215391,Снизилась,премиум,да,3.5,3,754,0.3,Косметика и аксесуары,3,1,2,1,4556.0,5928.5,5824.5,Активен,10,11
215392,Снизилась,премиум,да,3.9,3,525,0.28,Кухонная посуда,5,0,4,4,4341.0,4548.0,5234.4,Активен,7,7
215393,Снизилась,стандарт,нет,4.6,4,169,0.93,Техника для красоты и здоровья,2,1,3,7,4909.0,5267.5,5345.5,Активен,12,11
215394,Снизилась,стандарт,да,3.0,5,966,0.3,Товары для детей,3,1,2,4,4952.0,5420.0,5651.4,Активен,8,7
215395,Снизилась,премиум,да,1.5,5,645,0.27,Товары для детей,3,3,6,5,4972.0,5297.5,5677.1,Активен,9,9
215396,Снизилась,стандарт,да,3.4,5,706,0.22,Домашний текстиль,2,3,8,4,4805.0,5876.0,6830.2,Активен,12,6
215397,Снизилась,стандарт,да,4.2,3,689,0.31,Домашний текстиль,4,2,2,3,4430.0,4541.0,5040.2,Активен,6,8
215398,Снизилась,премиум,да,3.5,5,882,0.22,Мелкая бытовая техника и электроника,3,2,6,3,4557.0,5530.5,5854.2,Активен,5,6
215399,Снизилась,премиум,да,4.1,4,1007,0.3,Товары для детей,4,5,3,6,4529.0,3857.0,4900.9,Активен,13,10
215400,Снизилась,стандарт,нет,4.4,5,304,0.94,Товары для детей,1,4,3,2,4439.0,5681.0,5691.4,Активен,11,9
215401,Снизилась,премиум,да,3.4,5,339,0.3,Косметика и аксесуары,2,3,3,4,4833.0,5548.5,6065.9,Активен,10,8
215402,Снизилась,премиум,да,3.0,5,954,0.93,Товары для детей,3,2,4,6,4702.0,4918.0,4940.1,Активен,5,5
215403,Снизилась,премиум,да,1.7,5,771,0.39,Техника для красоты и здоровья,1,8,2,5,4957.0,5824.0,6427.2,Активен,7,8
215404,Снизилась,стандарт,да,2.4,3,699,0.94,Домашний текстиль,4,1,2,3,4449.0,3788.0,4867.0,Активен,12,13
215405,Снизилась,стандарт,да,3.0,3,669,0.34,Кухонная посуда,4,2,5,4,4881.0,6226.5,7104.0,Активен,12,9
215406,Снизилась,стандарт,да,2.4,5,511,0.3,Товары для детей,3,2,4,6,4763.0,5715.5,6257.6,Активен,6,6
215407,Снизилась,премиум,да,2.4,4,974,0.35,Домашний текстиль,4,3,4,6,4884.0,5502.0,5919.3,Активен,9,13
215408,Снизилась,премиум,да,2.4,3,666,0.98,Кухонная посуда,3,5,1,2,4434.0,5295.0,5029.8,Активен,10,12
215409,Снизилась,премиум,да,1.4,4,857,0.95,Кухонная посуда,3,4,5,5,4465.0,5219.5,5538.0,Активен,6,12
215410,Снизилась,стандарт,да,3.0,3,1048,0.89,Товары для детей,4,5,3,1,4248.0,4839.0,4607.6,Активен,6,4
215411,Снизилась,стандарт,да,1.7,4,756,0.33,Товары для детей,2,3,7,4,4609.0,5395.0,5499.0,Активен,9,10
215412,Снизилась,премиум,да,2.9,3,506,0.9,Товары для детей,1,5,3,4,4607.0,5499.5,5294.1,Активен,10,9
215413,Снизилась,премиум,да,4.0,3,759,0.23,Косметика и аксесуары,1,4,5,5,4301.0,3943.0,4166.6,Активен,9,12
215414,Снизилась,премиум,да,4.0,4,768,0.32,Кухонная посуда,2,8,4,4,4747.0,3757.0,4144.4,Активен,13,9
215415,Снизилась,стандарт,да,2.4,3,720,0.32,Домашний текстиль,2,6,3,3,4875.0,6147.0,6352.4,Активен,13,9
215416,Снизилась,стандарт,да,4.2,4,219,0.24,Товары для детей,2,5,7,8,4148.0,4461.5,4882.7,Активен,5,8
215417,Снизилась,премиум,да,4.1,5,377,0.24,Товары для детей,3,2,2,3,4991.0,3914.0,3875.0,Активен,9,9
215418,Снизилась,стандарт,нет,1.7,4,472,0.94,Домашний текстиль,2,6,4,3,4661.0,5943.5,6427.1,Активен,8,11
215419,Снизилась,премиум,да,3.4,4,806,0.93,Домашний текстиль,3,5,8,6,4756.0,5816.5,5676.1,Активен,10,11
215420,Снизилась,стандарт,да,3.5,5,449,0.35,Домашний текстиль,1,9,2,2,4568.0,5264.0,5200.3,Активен,11,9
215421,Снизилась,премиум,нет,4.0,5,523,0.94,Техника для красоты и здоровья,1,10,7,5,4571.0,5130.5,5322.9,Активен,11,13
215422,Снизилась,стандарт,да,4.2,4,503,0.25,Товары для детей,2,3,1,6,4455.0,4995.0,4668.7,Активен,6,12
215423,Снизилась,стандарт,да,3.5,4,515,0.29,Косметика и аксесуары,1,4,4,1,4316.0,5586.5,5682.7,Активен,10,10
215424,Снизилась,премиум,да,3.8,3,813,0.36,Домашний текстиль,3,3,2,2,4383.0,5821.5,5859.2,Активен,10,14
215425,Снизилась,стандарт,да,4.1,4,249,0.28,Кухонная посуда,2,6,1,4,4623.0,5202.0,5485.4,Активен,10,11
215426,Снизилась,премиум,да,2.7,4,829,0.22,Косметика и аксесуары,3,5,4,5,4648.0,5404.0,6150.2,Активен,10,7
215427,Снизилась,стандарт,нет,2.4,4,186,0.4,Косметика и аксесуары,3,6,7,6,4795.0,5549.5,6427.0,Активен,9,14
215428,Снизилась,стандарт,нет,4.0,3,336,0.9,Домашний текстиль,2,7,2,6,4537.0,4456.0,5444.0,Активен,10,9
215429,Снизилась,премиум,нет,0.9,4,690,0.24,Домашний текстиль,2,5,7,4,4488.0,3662.0,4158.6,Активен,11,10
215430,Снизилась,стандарт,да,2.9,4,824,0.29,Кухонная посуда,2,2,5,3,4712.0,5289.5,5780.9,Активен,12,6
215431,Снизилась,премиум,да,3.9,4,666,0.21,Кухонная посуда,3,3,6,7,4692.0,5455.5,6184.8,Активен,12,14
215432,Снизилась,стандарт,нет,4.1,4,377,0.24,Товары для детей,3,3,2,1,4648.0,5063.5,5038.8,Активен,12,12
215433,Снизилась,стандарт,да,4.0,4,753,0.89,Товары для детей,2,8,3,2,4098.0,4599.0,4959.1,Активен,8,11
215434,Снизилась,стандарт,да,3.9,4,674,0.21,Домашний текстиль,3,5,7,6,4604.0,4913.0,5733.3,Активен,7,7
215435,Снизилась,премиум,да,4.8,4,875,0.35,Товары для детей,2,2,5,9,5008.0,6869.5,7605.3,Активен,7,11
215436,Снизилась,стандарт,да,4.6,3,844,0.93,Товары для детей,3,8,4,2,4752.0,5370.0,5511.7,Активен,10,10
215437,Снизилась,премиум,да,2.4,3,602,0.32,Косметика и аксесуары,2,5,3,3,4875.0,4987.5,4834.1,Активен,10,6
215438,Снизилась,стандарт,да,4.0,5,855,0.3,Кухонная посуда,2,6,2,7,4235.0,4283.0,4787.4,Активен,10,12
215439,Снизилась,премиум,нет,3.4,5,448,0.28,Товары для детей,4,2,2,7,4551.0,5484.0,5833.7,Активен,9,9
215440,Снизилась,стандарт,нет,3.8,5,344,0.4,Товары для детей,3,3,8,3,4740.0,5470.5,5571.9,Активен,7,7
215441,Снизилась,стандарт,да,4.1,4,922,0.29,Товары для детей,6,7,1,5,4443.0,4305.0,4029.4,Активен,7,12
215442,Снизилась,стандарт,да,2.4,4,298,0.89,Домашний текстиль,6,3,2,3,4917.0,4665.0,4371.2,Активен,8,5
215443,Снизилась,премиум,да,3.1,4,893,0.24,Кухонная посуда,2,4,3,2,4691.0,6291.5,6378.6,Активен,5,8
215444,Снизилась,стандарт,да,3.1,5,881,0.29,Кухонная посуда,3,5,2,2,4162.0,4068.0,4481.4,Активен,5,9
215445,Снизилась,стандарт,нет,4.0,5,372,0.99,Косметика и аксесуары,1,6,6,5,4528.0,5186.5,5208.6,Активен,9,10
215446,Снизилась,стандарт,да,3.5,4,788,0.32,Техника для красоты и здоровья,3,3,4,3,4435.0,4865.5,5024.1,Активен,11,14
215447,Снизилась,стандарт,да,2.4,5,511,0.94,Товары для детей,3,2,3,3,4677.0,3311.0,3567.1,Активен,6,9
215448,Снизилась,премиум,да,4.6,4,974,0.94,Домашний текстиль,4,3,3,7,4670.0,5351.0,6129.7,Активен,9,10
215449,Снизилась,премиум,да,2.4,3,666,0.39,Кухонная посуда,3,5,2,3,4301.0,5051.0,5223.9,Активен,10,13
215450,Снизилась,премиум,да,5.6,4,857,0.36,Кухонная посуда,3,4,6,5,4849.0,6211.0,7160.0,Активен,12,8
215451,Снизилась,стандарт,да,3.9,3,1048,0.22,Товары для детей,4,5,4,5,4658.0,4043.0,4260.1,Активен,11,14
215452,Снизилась,стандарт,да,3.8,4,756,0.9,Товары для детей,2,3,6,4,4963.0,4045.0,4206.2,Активен,11,10
215453,Снизилась,премиум,да,2.4,3,506,0.22,Товары для детей,1,5,4,3,4290.0,3332.0,3143.5,Активен,9,12
215454,Снизилась,премиум,да,4.6,3,759,0.36,Косметика и аксесуары,1,4,8,5,4600.0,5653.0,6301.7,Активен,9,9
215455,Снизилась,премиум,да,4.0,3,937,0.22,Косметика и аксесуары,2,4,3,4,4564.0,5288.5,5175.4,Активен,12,10
215456,Снизилась,стандарт,да,1.7,4,449,0.23,Косметика и аксесуары,3,4,4,5,4353.0,5134.5,6318.8,Активен,10,9
215457,Снизилась,премиум,нет,4.6,5,764,0.32,Товары для детей,2,5,6,4,4387.0,5291.5,5805.0,Активен,8,10
215458,Снизилась,стандарт,да,4.4,3,851,0.32,Косметика и аксесуары,3,3,4,6,4925.0,5772.5,6187.2,Активен,14,15
215459,Снизилась,премиум,да,4.1,4,768,0.94,Кухонная посуда,2,8,7,6,4119.0,4782.0,5780.4,Активен,14,8
215460,Снизилась,стандарт,да,3.5,3,720,0.3,Домашний текстиль,2,6,4,2,4729.0,5864.5,6063.4,Активен,10,11
215461,Снизилась,стандарт,да,5.6,4,219,0.39,Товары для детей,2,5,2,1,4766.0,3598.0,3700.7,Активен,12,9
215462,Снизилась,премиум,да,5.6,5,377,0.36,Товары для детей,3,2,5,3,5002.0,5821.0,6244.8,Активен,6,4
215463,Снизилась,стандарт,нет,3.1,4,472,0.99,Домашний текстиль,2,6,3,3,4470.0,5196.0,5015.3,Активен,8,12
215464,Снизилась,премиум,да,2.4,4,806,0.25,Домашний текстиль,3,5,3,8,4692.0,4990.5,5335.0,Активен,11,10
215465,Снизилась,стандарт,да,3.5,5,449,0.28,Домашний текстиль,1,9,2,2,4579.0,4328.5,4309.0,Активен,11,9
215466,Снизилась,премиум,нет,2.4,5,523,0.3,Техника для красоты и здоровья,1,10,1,4,4748.0,3202.0,2758.7,Активен,11,14
215467,Снизилась,стандарт,да,4.4,4,503,0.9,Мелкая бытовая техника и электроника,2,3,3,3,4367.0,4853.0,5062.3,Активен,7,13
215468,Снизилась,стандарт,да,2.7,4,515,0.94,Косметика и аксесуары,1,4,2,2,4698.0,6060.0,6346.0,Активен,9,11
215469,Снизилась,премиум,да,4.1,3,813,0.22,Домашний текстиль,3,3,4,5,4889.0,5403.5,5228.0,Активен,12,8
215470,Снизилась,стандарт,да,3.9,4,249,0.93,Кухонная посуда,2,6,4,2,4764.0,5157.0,5623.7,Активен,13,11
215471,Снизилась,премиум,да,3.8,4,829,0.3,Косметика и аксесуары,3,5,6,6,4258.0,5305.0,6255.3,Активен,7,9
215472,Снизилась,стандарт,нет,2.4,4,186,0.93,Косметика и аксесуары,3,6,3,4,4596.0,5920.5,6099.9,Активен,11,8
215473,Снизилась,стандарт,нет,4.1,3,336,0.22,Домашний текстиль,2,7,2,3,4224.0,4246.5,3987.8,Активен,8,13
215474,Снизилась,премиум,нет,3.5,4,690,0.24,Домашний текстиль,2,5,8,5,4578.0,5470.5,5521.2,Активен,11,13
215475,Снизилась,стандарт,да,4.8,4,824,0.33,Кухонная посуда,2,2,2,3,4834.0,5713.0,5980.8,Активен,11,11
215476,Снизилась,премиум,да,3.1,4,666,0.39,Кухонная посуда,3,3,2,2,4243.0,5053.0,5957.8,Активен,6,11
215477,Снизилась,стандарт,нет,1.7,4,377,0.23,Товары для детей,3,3,5,6,4356.0,3201.0,3711.9,Активен,12,14
215478,Снизилась,стандарт,да,4.1,4,753,0.24,Товары для детей,2,8,2,2,4682.0,2960.0,3078.3,Активен,10,14
215479,Снизилась,стандарт,да,3.4,4,674,0.28,Домашний текстиль,3,5,2,3,4641.0,5775.0,5980.4,Активен,10,8
215480,Снизилась,премиум,да,4.4,4,875,0.94,Товары для детей,2,2,8,5,4704.0,5551.5,6244.4,Активен,6,12
215481,Снизилась,стандарт,да,3.8,3,844,0.93,Товары для детей,3,8,4,2,4374.0,3720.0,3560.1,Активен,10,11
215482,Снизилась,премиум,да,2.7,3,602,0.25,Косметика и аксесуары,2,5,5,2,4921.0,6457.0,6593.5,Активен,12,10
215483,Снизилась,стандарт,да,3.9,5,855,0.99,Кухонная посуда,2,6,7,6,4834.0,6349.0,6355.5,Активен,8,8
215484,Снизилась,премиум,нет,2.9,5,448,0.23,Товары для детей,4,2,6,3,4267.0,5059.0,5018.7,Активен,5,7
215485,Снизилась,стандарт,да,3.5,4,720,0.99,Косметика и аксесуары,1,2,4,7,4234.0,4201.0,5065.5,Активен,10,14
215486,Снизилась,премиум,да,3.5,4,1021,0.35,Косметика и аксесуары,2,4,3,5,4469.0,4478.0,4517.0,Активен,9,13
215487,Снизилась,стандарт,да,4.8,3,627,0.98,Косметика и аксесуары,5,2,6,5,4923.0,4531.5,5173.7,Активен,10,8
215488,Снизилась,стандарт,да,4.1,4,748,0.93,Кухонная посуда,3,4,2,4,4652.0,5612.0,6368.6,Активен,10,8
215489,Снизилась,стандарт,нет,3.6,5,344,0.98,Товары для детей,3,3,4,4,4817.0,6183.5,6594.3,Активен,9,8
215490,Снизилась,стандарт,да,4.1,4,922,0.35,Товары для детей,6,7,1,5,4559.0,4849.0,5497.7,Активен,13,11
215491,Снизилась,стандарт,да,1.7,4,298,0.39,Домашний текстиль,6,3,6,4,4705.0,4576.0,4521.4,Активен,11,11
215492,Снизилась,премиум,да,3.9,4,893,0.29,Кухонная посуда,2,4,3,6,4389.0,5151.0,5602.1,Активен,6,9
215493,Снизилась,стандарт,да,4.0,5,881,0.99,Кухонная посуда,3,5,6,5,4870.0,6716.5,7799.4,Активен,9,10
215494,Снизилась,стандарт,нет,5.6,5,372,0.23,Косметика и аксесуары,1,6,2,3,4502.0,5258.0,5784.5,Активен,9,13
215495,Снизилась,стандарт,да,0.9,4,788,0.98,Техника для красоты и здоровья,3,3,3,3,4611.0,3981.0,4369.7,Активен,14,11
215496,Снизилась,премиум,да,4.0,4,684,0.4,Техника для красоты и здоровья,1,6,2,4,4896.0,5020.0,5237.1,Активен,11,11
215497,Снизилась,премиум,да,5.6,5,719,0.28,Мелкая бытовая техника и электроника,1,2,7,1,4475.0,5871.5,6277.1,Активен,9,5
215498,Снизилась,стандарт,нет,3.4,4,891,0.35,Товары для детей,2,2,4,5,4624.0,6083.5,6677.6,Активен,9,9
215499,Снизилась,стандарт,да,3.4,4,842,0.89,Техника для красоты и здоровья,2,8,8,3,4610.0,3526.0,4286.5,Активен,14,10
215500,Снизилась,стандарт,да,3.5,4,573,0.4,Косметика и аксесуары,2,4,1,4,4278.0,4137.0,3808.1,Активен,11,12
215501,Снизилась,премиум,да,3.5,3,1057,0.35,Домашний текстиль,4,3,5,6,4993.0,6604.0,6758.7,Активен,9,9
215502,Снизилась,стандарт,да,3.1,4,342,0.98,Кухонная посуда,2,7,5,3,4809.0,6132.0,6314.0,Активен,13,10
215503,Снизилась,стандарт,да,2.4,5,638,0.24,Домашний текстиль,1,5,2,1,4119.0,5046.0,4886.1,Активен,7,8
215504,Снизилась,стандарт,да,3.4,5,458,0.9,Товары для детей,2,4,2,2,4543.0,3432.0,3412.5,Активен,11,10
215505,Снизилась,стандарт,да,4.4,4,254,0.31,Товары для детей,2,3,5,3,4698.0,3951.0,3982.2,Активен,7,7
215506,Снизилась,стандарт,нет,3.0,5,600,0.31,Домашний текстиль,1,7,5,4,4238.0,5052.5,5502.3,Активен,11,8
215507,Снизилась,стандарт,да,3.8,3,871,0.32,Техника для красоты и здоровья,2,4,6,7,4969.0,4464.0,4794.2,Активен,16,9
215508,Снизилась,стандарт,да,3.5,5,574,0.22,Домашний текстиль,3,2,2,2,4102.0,4672.0,5030.8,Активен,8,5
215509,Снизилась,премиум,да,4.0,5,982,0.94,Мелкая бытовая техника и электроника,3,1,2,6,4880.0,5265.5,5299.3,Активен,8,6
215510,Снизилась,стандарт,да,3.8,4,324,0.22,Техника для красоты и здоровья,2,7,2,2,4814.0,4244.0,4242.7,Активен,9,14
215511,Снизилась,стандарт,да,3.9,5,373,0.33,Домашний текстиль,1,4,4,6,4428.0,4966.5,5907.7,Активен,10,11
215512,Снизилась,стандарт,да,0.9,3,839,0.4,Косметика и аксесуары,3,3,7,7,4513.0,5641.0,6996.9,Активен,12,8
215513,Снизилась,премиум,нет,3.4,4,845,0.22,Домашний текстиль,2,7,7,5,4466.0,5834.0,6664.7,Активен,10,8
215514,Снизилась,премиум,да,1.5,4,475,0.21,Косметика и аксесуары,2,3,8,3,4839.0,5994.0,6125.3,Активен,6,9
215515,Снизилась,стандарт,нет,4.0,3,509,0.94,Косметика и аксесуары,2,6,4,6,4442.0,4395.5,4067.9,Активен,7,13
215516,Снизилась,стандарт,нет,4.4,4,252,0.98,Косметика и аксесуары,3,4,2,1,4328.0,5208.5,5142.2,Активен,9,11
215517,Снизилась,премиум,нет,4.0,3,820,0.32,Косметика и аксесуары,4,4,2,5,4718.0,6036.5,6612.4,Активен,11,8
215518,Снизилась,премиум,да,3.4,5,744,0.28,Товары для детей,3,2,2,6,4156.0,4987.0,5237.9,Активен,6,6
215519,Снизилась,премиум,да,3.1,5,824,0.94,Товары для детей,2,2,4,4,4802.0,3680.0,4283.2,Активен,8,8
215520,Снизилась,стандарт,нет,4.1,3,511,0.3,Кухонная посуда,2,6,4,6,4102.0,4601.5,5585.6,Активен,11,14
215521,Снизилась,премиум,нет,1.5,3,541,0.9,Товары для детей,2,4,4,5,4265.0,4045.0,4650.8,Активен,11,13
215522,Снизилась,премиум,да,2.9,3,1079,0.3,Товары для детей,4,5,5,9,5039.0,3619.0,4595.3,Активен,11,11
215523,Снизилась,премиум,да,3.5,4,900,0.4,Кухонная посуда,2,3,9,6,4827.0,5740.5,6407.4,Активен,14,13
215524,Снизилась,стандарт,да,3.0,3,474,0.23,Техника для красоты и здоровья,1,10,4,2,4508.0,3836.0,4240.3,Активен,12,11
215525,Снизилась,стандарт,да,3.0,4,558,0.32,Товары для детей,1,2,4,1,4639.0,4769.5,4984.0,Активен,9,10
215526,Снизилась,стандарт,да,3.1,4,572,0.29,Домашний текстиль,1,8,8,5,4508.0,5880.5,6713.8,Активен,13,12
215527,Снизилась,премиум,да,4.1,5,957,0.94,Товары для детей,3,0,5,4,4472.0,3229.0,3849.1,Активен,8,8
215528,Снизилась,стандарт,да,4.4,4,773,0.98,Мелкая бытовая техника и электроника,3,3,8,6,4502.0,5270.0,6103.3,Активен,8,8
215529,Снизилась,стандарт,нет,3.5,5,717,0.35,Товары для детей,2,6,7,3,4449.0,3111.0,3267.0,Активен,10,9
215530,Снизилась,стандарт,да,3.9,5,508,0.4,Домашний текстиль,1,6,3,3,4374.0,5043.0,5391.4,Активен,9,10
215531,Снизилась,стандарт,да,4.2,4,184,0.34,Кухонная посуда,1,6,4,2,4579.0,5518.0,6061.4,Активен,13,13
215532,Снизилась,стандарт,да,4.1,4,828,0.35,Товары для детей,3,4,4,7,4212.0,3871.5,4422.7,Активен,7,9
215533,Снизилась,стандарт,да,4.2,4,944,0.35,Домашний текстиль,2,0,5,7,4813.0,4468.0,5435.2,Активен,10,6
215534,Снизилась,премиум,нет,4.0,4,419,0.93,Товары для детей,1,9,3,3,4669.0,3652.0,3856.1,Активен,13,10
215535,Снизилась,стандарт,нет,2.6,3,302,0.31,Товары для детей,2,1,1,7,4586.0,4430.0,4667.9,Активен,7,9
215536,Снизилась,стандарт,нет,3.8,3,898,0.4,Кухонная посуда,3,6,2,5,4952.0,6378.5,7467.9,Активен,15,12
215537,Снизилась,премиум,да,3.9,4,705,0.99,Косметика и аксесуары,3,3,7,4,4974.0,6121.5,6781.9,Активен,7,9
215538,Снизилась,премиум,да,1.5,5,788,0.89,Товары для детей,1,4,4,4,4641.0,6013.5,6900.1,Активен,8,4
215539,Снизилась,стандарт,да,2.4,4,953,0.4,Товары для детей,4,3,3,4,4220.0,5204.0,5417.2,Активен,5,9
215540,Снизилась,премиум,да,1.4,5,355,0.33,Мелкая бытовая техника и электроника,1,1,5,5,4826.0,5277.5,6118.6,Активен,9,10
215541,Снизилась,стандарт,нет,4.4,4,616,0.27,Товары для детей,1,7,4,2,4605.0,3518.0,3416.6,Активен,10,9
215542,Снизилась,стандарт,нет,3.4,4,622,0.28,Косметика и аксесуары,3,1,4,4,4418.0,5343.5,5772.5,Активен,11,9
215543,Снизилась,премиум,нет,1.5,5,335,0.21,Товары для детей,2,0,5,3,4684.0,4697.5,4821.0,Активен,5,4
215544,Снизилась,стандарт,да,2.4,4,1025,0.4,Кухонная посуда,3,2,5,6,4314.0,4732.5,4954.8,Активен,9,12
215545,Снизилась,стандарт,да,4.6,4,755,0.94,Кухонная посуда,3,7,5,5,4567.0,4826.5,5306.2,Активен,9,9
215546,Снизилась,стандарт,да,4.0,4,549,0.31,Товары для детей,4,3,2,4,4157.0,3659.0,4584.6,Активен,11,10
